,Total Raised,First Funding Year,First Funding Month,First Funding Day,Service_Blockchain Infrastructure,Service_Blockchain Service,Service_CeFi,Service_Chain,Service_DeFi,Service_GameFi,Service_Social,Service_Stablecoin,Funding Round_Angel,Funding Round_Pre-Seed,Funding Round_Pre-Series A,Funding Round_Seed,Funding Round_Series A,Funding Round_Strategic,Funding Round_Undisclosed,Inverstors_and_desc
0,0.08743008536944362,0.0,1.0,0.06896551724137931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Jump Capital, Cypher Capital, MEXC, Gate.io Raiinmaker is a project focused on accelerating the next generation of Web3 by using decentralized AI and a human-powered network. It involves a network ecosystem that transforms the distribution of value linked to identity, data, and behavior through decentralized AI and Web3 infrastructure."
1,0.049749779216956135,0.0,1.0,0.06896551724137931,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"ZBS CAPITAL, Maven Capital, MH Ventures, Chainlink SatoshiSync is The Permissionless Chain Agnostic Protocol for Inscriptions and BTC L2. Team simplify making BTCFi liquid with permissionless protocol designed to deploy, mint and bridge Inscriptions."
2,0.12393288195466588,0.0,1.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Lemniscap, Sfermion, Draper Associates, Verbal Legitimate presents an on-chain framework meticulously crafted to synchronize physical assets with their digital counterparts. Leveraging NFC and blockchain technology, Legitimate's 'Locked NFT Protocol' establishes a secure linkage between physical products (utilizing the LGT Tag) and unique digital identities on the blockchain."
3,0.002649396526346777,0.0,1.0,0.06896551724137931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Polychain Capital, CMS Holdings, Master Ventures, Token Metrics Gasp offers native cross-chain swaps without resorting to traditional bridges through the power of escape hatches which guarantee the withdrawal of user funds at all times, ZK proofs and decentralized sequencers."
4,0.046217250515160437,0.0,1.0,0.034482758620689655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"ZBS CAPITAL, Rarestone Capital, Faculty Group, Laser Digital BonusBlock is a Web3 marketing platform that incentivizies everyday on-chain activities, offering a unique model where users earn rewards through engagement, supported across multiple blockchains. It operates on a straightforward system: sign up, interact to increase wallet tier, and receive weekly rewards, aiming to enhance user interaction and loyalty to projects without integration hassles."
5,0.14041801589637917,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Amber Group, Borderless Capital, SNZ Holding, Waterdrip Capital IoTeX was founded in 2017 and operates as an open-source blockchain-based project. It is built to support use cases within the Internet of Things sector and allow humans and machines to interact in a completely decentralized manner. In particular, the platform hopes to solve the issue of lack of security and privacy. For example, home camera video recordings are owned by the provider."
6,0.11686782455107447,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Morningstar Ventures, KuCoin Labs, Spark Digital Capital, BlackEdge Capital AutoLayer is LRTfi hub on Arbitrum, interface within the EigenLayer ecosystem. It offers One-Click Liquid Restaking and Staking along with other DeFi strategies and incentives. Users can restake/stake at any time with multiple assets and compound their yield easily."
7,0.05799234618781277,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Maven 11 Capital, OKX Ventures, HTX Ventures, Moonrock Capital Camp Network is a modular Layer 2 (L2) solution that harnesses off-chain data from Web2 social platforms to facilitate on-chain value creation. By leveraging this innovative approach, Camp Network empowers users and creators across various domains including social media, music, entertainment, and more."
8,0.0933176332057698,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"DragonFly Capital, Robot Ventures Agora emerges as a stablecoin issuer offering users a refuge from volatility by pegging themselves to assets like the dollar. Agora's stablecoins are backed by a range of assets including cash, Treasury bonds, and overnight repurchase agreements. This ensures stability and reliability, providing users with a secure store of value in the volatile cryptocurrency market."
9,0.030909626140712392,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"The Spartan Group, Animoca Brands, Shima Capital, Hashed Fund GOMBLE, the developer of RumbyStars, is developing blockchain-based casual games that maximize the essential entertainment of the game, rather than just games for monetary gain. This way, users can have more fun and become more engaged in the gaming process. GOMBLE is an affiliate company of 111Percent."
