First Funding date,Overview,Token Sale,Name
2024-03-21,https://cryptorank.io/price/ainn,https://cryptorank.io/ico/ainn,Ainn
2024-03-21,https://cryptorank.io/price/openstamp,https://cryptorank.io/ico/openstamp,Openstamp
2024-03-21,https://cryptorank.io/price/rails,https://cryptorank.io/ico/rails,Rails
2024-03-21,https://cryptorank.io/price/savage#funding-rounds,https://cryptorank.io/ico/savage#funding-rounds,Savage
2024-03-21,https://cryptorank.io/price/succinct,https://cryptorank.io/ico/succinct,Succinct
2024-03-21,https://cryptorank.io/price/espresso,https://cryptorank.io/ico/espresso,Espresso
2024-03-21,https://cryptorank.io/price/tensorplex-labs,https://cryptorank.io/ico/tensorplex-labs,Tensorplex Labs
2024-03-21,https://cryptorank.io/price/bi-social,https://cryptorank.io/ico/bi-social,Bi Social
2024-03-21,https://cryptorank.io/price/qna-3-ai,https://cryptorank.io/ico/qna-3-ai,Qna 3 Ai
2024-03-21,https://cryptorank.io/price/tanssi-network,https://cryptorank.io/ico/tanssi-network,Tanssi Network
2024-03-21,https://cryptorank.io/price/kiloex,https://cryptorank.io/ico/kiloex,Kiloex
2024-03-21,https://cryptorank.io/price/nebula-revelation,https://cryptorank.io/ico/nebula-revelation,Nebula Revelation
2024-03-21,https://cryptorank.io/price/hyperplay,https://cryptorank.io/ico/hyperplay,Hyperplay
2024-03-20,https://cryptorank.io/price/castle-of-blackwater#funding-rounds,https://cryptorank.io/ico/castle-of-blackwater#funding-rounds,Castle Of Blackwater
2024-03-20,https://cryptorank.io/price/asterix-labs,https://cryptorank.io/ico/asterix-labs,Asterix Labs
2024-03-20,https://cryptorank.io/price/mystiko-network#funding-rounds,https://cryptorank.io/ico/mystiko-network#funding-rounds,Mystiko Network
2024-03-20,https://cryptorank.io/price/ooga-booga,https://cryptorank.io/ico/ooga-booga,Ooga Booga
2024-03-20,https://cryptorank.io/price/earlyfans,https://cryptorank.io/ico/earlyfans,Earlyfans
2024-03-20,https://cryptorank.io/price/morph,https://cryptorank.io/ico/morph,Morph
2024-03-20,https://cryptorank.io/price/eesee,https://cryptorank.io/ico/eesee,Eesee
2024-03-19,https://cryptorank.io/price/bornless,https://cryptorank.io/ico/bornless,Bornless
2024-03-19,https://cryptorank.io/price/tokenize-xchange,https://cryptorank.io/ico/tokenize-xchange,Tokenize Xchange
2024-03-19,https://cryptorank.io/price/metaverse-hq,https://cryptorank.io/ico/metaverse-hq,Metaverse Hq
2024-03-19,https://cryptorank.io/price/carrieverse#funding-rounds,https://cryptorank.io/ico/carrieverse#funding-rounds,Carrieverse
2024-03-19,https://cryptorank.io/price/keyring-network,https://cryptorank.io/ico/keyring-network,Keyring Network
2024-03-19,https://cryptorank.io/price/kemet-trading,https://cryptorank.io/ico/kemet-trading,Kemet Trading
2024-03-19,https://cryptorank.io/price/trex-20#funding-rounds,https://cryptorank.io/ico/trex-20#funding-rounds,Trex 20
2024-03-19,https://cryptorank.io/price/gull-network#funding-rounds,https://cryptorank.io/ico/gull-network#funding-rounds,Gull Network
2024-03-19,https://cryptorank.io/price/umoja-labs,https://cryptorank.io/ico/umoja-labs,Umoja Labs
2024-03-19,https://cryptorank.io/price/dolomite,https://cryptorank.io/ico/dolomite,Dolomite
2024-03-19,https://cryptorank.io/price/grvt,https://cryptorank.io/ico/grvt,Grvt
2024-03-19,https://cryptorank.io/price/zkasino,https://cryptorank.io/ico/zkasino,Zkasino
2024-03-19,https://cryptorank.io/price/mantra-dao,https://cryptorank.io/ico/mantra-dao,Mantra Dao
2024-03-18,https://cryptorank.io/price/bitbrand,https://cryptorank.io/ico/bitbrand,Bitbrand
2024-03-18,https://cryptorank.io/price/crypto-rogue-games,https://cryptorank.io/ico/crypto-rogue-games,Crypto Rogue Games
2024-03-18,https://cryptorank.io/price/juice-finance#funding-rounds,https://cryptorank.io/ico/juice-finance#funding-rounds,Juice Finance
2024-03-18,https://cryptorank.io/price/figure-markets,https://cryptorank.io/ico/figure-markets,Figure Markets
2024-03-18,https://cryptorank.io/price/flash-protocol#funding-rounds,https://cryptorank.io/ico/flash-protocol#funding-rounds,Flash Protocol
2024-03-18,https://cryptorank.io/price/entangle#funding-rounds,https://cryptorank.io/ico/entangle#funding-rounds,Entangle
2024-03-16,https://cryptorank.io/price/pac-finance,https://cryptorank.io/ico/pac-finance,Pac Finance
2024-03-15,https://cryptorank.io/price/tenprotocol,https://cryptorank.io/ico/tenprotocol,Tenprotocol
2024-03-15,https://cryptorank.io/price/honeypot-finance,https://cryptorank.io/ico/honeypot-finance,Honeypot Finance
2024-03-15,https://cryptorank.io/price/avalon-finance,https://cryptorank.io/ico/avalon-finance,Avalon Finance
2024-03-15,https://cryptorank.io/price/jambo,https://cryptorank.io/ico/jambo,Jambo
2024-03-15,https://cryptorank.io/price/meson-network#funding-rounds,https://cryptorank.io/ico/meson-network#funding-rounds,Meson Network
2024-03-14,https://cryptorank.io/price/mmerch,https://cryptorank.io/ico/mmerch,Mmerch
2024-03-14,https://cryptorank.io/price/shui,https://cryptorank.io/ico/shui,Shui
2024-03-14,https://cryptorank.io/price/param-labs,https://cryptorank.io/ico/param-labs,Param Labs
2024-03-14,https://cryptorank.io/price/dlc-link,https://cryptorank.io/ico/dlc-link,Dlc Link
2024-03-14,https://cryptorank.io/price/noia#funding-rounds,https://cryptorank.io/ico/noia#funding-rounds,Noia
2024-03-14,https://cryptorank.io/price/range,https://cryptorank.io/ico/range,Range
2024-03-14,https://cryptorank.io/price/d-2-x,https://cryptorank.io/ico/d-2-x,D 2 X
2024-03-14,https://cryptorank.io/price/playmadworld,https://cryptorank.io/ico/playmadworld,Playmadworld
2024-03-14,https://cryptorank.io/price/aevo,https://cryptorank.io/ico/aevo,Aevo
2024-03-14,https://cryptorank.io/price/nyan-heroes,https://cryptorank.io/ico/nyan-heroes,Nyan Heroes
2024-03-14,https://cryptorank.io/price/pallet,https://cryptorank.io/ico/pallet,Pallet
2024-03-14,https://cryptorank.io/price/clique,https://cryptorank.io/ico/clique,Clique
