Name,Funding Details
Hive,"['Series A\n27 Mar 2024\nRaised\n$ 13.00M\nInvestors:\nSC Ventures\nLead\nOneRagtime', 'Seed\n1 Jun 2022\nRaised\n$ 7.50M\nInvestors:\nOneRagtime\nLead\nGlobal Ventures\nLead\nLeFonds\nTom Glocer\n+2']"
Unstable-Protocol,['Seed\n27 Mar 2024\nRaised\n$ 2.50M\nInvestors:\nLattice\nBlockchain Founders Fund\nBlackEdge Capital\nLaser Digital\n+10']
Bloodloop,['Seed\n27 Mar 2024\nRaised\n$ 4.00M\nInvestors:\nMerit Circle\nAvalanche Foundation\nCitizen Capital']
Build-On-Bitcoin,"['Seed\n15 Apr 2024\nRaised\nN/A\nInvestors:\nCoinbase Ventures', 'Seed\n27 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nCastle Capital\nLead\nCMS Holdings\nIOSG Ventures\nMechanism Capital\n+16']"
Elixir-Games,['Seed\n27 Mar 2024\nRaised\n$ 14.00M\nInvestors:\nShima Capital\nSquare Enix\nSolana Foundation']
Illuvium,"['Series A\n27 Mar 2024\nRaised\n$ 12.00M\nInvestors:\nThe Spartan Group\nAnimoca Brands\nPolygon Ventures\nArrington XRP Capital\n+8', 'Undisclosed\n31 May 2023\nRaised\n$ 10.00M\nInvestors:\nFramework Ventures', 'Seed\n12 Mar 2021\nRaised\n$ 4.50M\nPrice:\n$ 3.00\nROI:\n33.10x  +3,210%\nInvestors:\nDelphi Digital\n+16\nATH ROI:\n638.48x  +63,748%']"
Bitlayer,['Seed\n27 Mar 2024\nRaised\n$ 5.00M\nInvestors:\nFramework Ventures\nLead\nABCDE\nLead\nOKX Ventures\nKenetic Capital\n+28']
Myshell,"['Pre-Series A\n27 Mar 2024\nRaised\n$ 11.00M\nInvestors:\nDragonFly Capital\nLead\nBalaji Srinivasan\nDelphi Digital\nOKX Ventures\n+6', 'Seed\n16 Oct 2023\nValuation\n$ 57M\nRaised\n$ 5.60M\nInvestors:\nINCE Capital\nLead\nHashKey Capital\nSignum Capital\nSevenX Ventures\n+4']"
Neutronpay,"['Undisclosed\n27 Mar 2024\nRaised\n$ 1.50M\nInvestors:\nAxiom Asia Private Capital\nLead', 'Seed\n14 Sep 2022\nRaised\n$ 2.25M\nInvestors:\nHivemind Ventures\nLead\nRepublic\nFulgur Ventures\nIterative\n+4']"
Peaq,"['Undisclosed\n27 Mar 2024\nRaised\n$ 15.00M\nInvestors:\nBorderless Capital\nLead\nGenerative Ventures\nLead\nThe Spartan Group\nAnimoca Brands\n+10', 'Undisclosed\n28 Jun 2022\nRaised\n$ 6.00M\nInvestors:\nFundamental Labs\nLead\nHashKey Capital\nGSR\nMoonrock Capital\n+12', 'Seed\n9 Jun 2021\nRaised\n$ 2.50M\nInvestors:\nScherzer & Co. AG\nLead\nWerner Geissler\nLead\nMeteoric VC']"
Metablox,"['Undisclosed\n22 Apr 2024\nRaised\nN/A\nInvestors:\nSamsungNext', 'Strategic\n26 Mar 2024\nRaised\n$ 5.00M\nInvestors:\nVolt Capital\nLead\nAnagram Crypto\nLead\nIoTeX\nSNZ Holding\n+7', 'Seed\n16 Mar 2022\nRaised\n$ 2.00M\nInvestors:\nCollab+Currency\nLead\nSynergis\nLead\nSNZ Holding\nNFT Tech\n+3']"
Kimafinance,"['Strategic\n26 Mar 2024\nRaised\nN/A\nInvestors:\nCastrum Capital', 'Undisclosed\n26 Jul 2022\nRaised\n$ 1.00M\nInvestors:\nBlockchange Ventures\nLead\nBig Brain Holdings\ncoinIX']"
Myprize,['Undisclosed\n26 Mar 2024\nValuation\n$ 140M\nRaised\n$ 13.00M\nInvestors:\nDragonFly Capital\nLead\nBoxcars Ventures\nLead\nAndreessen Horowitz (a16z)\nMechanism Capital\n+9']
0-G-Labs,['Pre-Seed\n26 Mar 2024\nRaised\n$ 35.00M\nInvestors:\nHack VC\nLead\nDelphi Digital\nAnimoca Brands\nOKX Ventures\n+3']
Ordinalsbot,"['Seed\n26 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nDigital Asset Capital Management (DACM)\nLead\nCMS Holdings\nKenetic Capital\nEden Block\n+8', 'Seed\n9 Oct 2023\nRaised\n$ 1.00M\nInvestors:\nSebastien Borget\nLightning Ventures\nBitcoin Frontier Fund\nDeep Ventures\n+7']"
Voltz-Labs,"['Undisclosed\n26 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nCoinbase Ventures\nFramework Ventures\nFabric Ventures\nStani Kulechov\n+5', 'Seed\n1 Jan 2022\nRaised\n$ 6.00M\nInvestors:\nFramework Ventures\nLead\nCoinbase Ventures\nFabric Ventures\nStani Kulechov\n+10']"
Gunzilla-Games,"['Undisclosed\n26 Mar 2024\nRaised\n$ 30.00M\nInvestors:\nCoinFund\nLead\nBlizzard Fund\nLead\nMorningstar Ventures\nRepublic Capital', 'Undisclosed\n10 Aug 2022\nRaised\n$ 46.00M\nInvestors:\nRepublic Capital\nLead\nThe Spartan Group\nAnimoca Brands\nMorningstar Ventures\n+14']"
Alex-Lab,"['Strategic\n26 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nThe Spartan Group\nLead\nCMS Holdings\nDWF Labs\nForesight Ventures\n+6', 'Strategic\n20 Dec 2023\nRaised\nN/A\nInvestors:\nLK Venture', 'Strategic\n14 Mar 2023\nRaised\n$ 2.50M\nInvestors:\nGossamer Capital\nTrust Machines', 'Seed\n15 Nov 2021\nRaised\n$ 5.80M\nInvestors:\nWhite Star Capital\nLead\nCultur3 Capital\nGBIC (Global Blockchain Innovative Capital)\nOK Blockchain Capital']"
Blockgames,['Undisclosed\n26 Mar 2024\nRaised\n$ 6.00M\nInvestors:\nSfermion\nSusquehanna International Group\nAptos\nMaven Capital\n+16']
Nubit,"['Pre-Seed\n26 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nOKX Ventures\nNGC Ventures\nLongHash Ventures\nMH Ventures\n+10', 'Angel\n4 Jan 2024\nRaised\nN/A\nInvestors:\nBounce']"
Satoshi-Protocol,['Seed\n26 Mar 2024\nRaised\nN/A\nInvestors:\nWaterdrip Capital\nLead\nWeb3Port\nLead\nMH Ventures\nCogitent Ventures\n+4']
Alienx,['Undisclosed\n25 Mar 2024\nValuation\n$ 200M\nRaised\n$ 17.00M\nInvestors:\nOKX Ventures\nC² Ventures\nParticle XYZ\nOffchain Labs\n+9']
Graphlinq-Protocol,['Strategic\n25 Mar 2024\nRaised\nN/A\nInvestors:\nDWF Labs']
Bevm,"['Undisclosed\n26 Apr 2024\nRaised\nN/A\nInvestors:\nBitmain', 'Undisclosed\n25 Mar 2024\nValuation\n$ 200M\nRaised\nN/A\nInvestors:\nWaterdrip Capital\nMH Ventures\nLotus Capital\nArkStream Capital\n+8']"
Meson-Network,"['Strategic\n25 Mar 2024\nRaised\nN/A\nInvestors:\nEverest Ventures\nSummer Ventures', 'Strategic\n15 Mar 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Seed\n27 Jun 2021\nRaised\n$ 3.50M\nInvestors:\nMask Network\nLead\nLibertus Capital\nLead\nHash Global\nLead\nHashKey Capital\n+12']"
Stake-Stone-Eth,['Undisclosed\n25 Mar 2024\nRaised\nN/A\nInvestors:\nBinance Labs']
Plena-Finance,"['Undisclosed\n17 Apr 2024\nRaised\n$ 5.00M\nInvestors:\nConsenSys\nGBV Capital\nGalxe\nBig Brain Holdings\n+20', 'Strategic\n23 Mar 2024\nRaised\nN/A\nInvestors:\nPivot']"
Sablier,['Seed\n22 Mar 2024\nRaised\n$ 4.50M\nInvestors:\nFenbushi Capital\na_capital\nWAGMI Ventures\nFounderheads\n+13']
Gameplan,['Seed\n22 Mar 2024\nRaised\nN/A\nInvestors:\nPolygon Ventures\nLead\nDouble Peak\nEmchain\nOX.FUN']
Botto,"['OTC Purchase\n22 Mar 2024\nRaised\n$ 1.67M\nInvestors:\n1kx\nLead\nVariant\nCollab+Currency', 'Strategic\n16 Feb 2023\nRaised\nN/A\nInvestors:\nVariant']"
Gam-3-S,"['Strategic\n22 Mar 2024\nRaised\n$ 2.00M\nInvestors:\nPolygon Ventures\nSandeep Nailwal\nMerit Circle\nBasics Capital\n+16', 'Seed\n7 Sep 2023\nRaised\n$ 2.00M\nInvestors:\nPolygon Ventures\nLD Capital\nMechanism Capital\nDouble Peak\n+13']"
Rollie-Finance,['Seed\n22 Mar 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands\nM77 Ventures\nSandy Peng\nAlex Lee\n+1']
Ainn,['Strategic\n21 Mar 2024\nRaised\nN/A\nInvestors:\nGenblock Capital\nWaterdrip Capital\nBitrise Capital\nAscendEX\n+3']
Openstamp,['Seed\n21 Mar 2024\nValuation\n$ 50M\nRaised\nN/A\nInvestors:\nAnimoca Brands\nLead\nKuCoin Ventures\nMH Ventures\nLotus Capital\n+7']
Rails,['Seed\n21 Mar 2024\nRaised\n$ 6.20M\nInvestors:\nSlow Ventures\nLead\nQuantstamp\nCMCC Global\nRound 13 Digital Asset Fund']
Savage,['Seed\n21 Mar 2024\nRaised\n$ 1.50M\nInvestors:\nFaculty Group\nLead\nMorningstar Ventures\nPolygon Ventures\nAsh Crypto']
Succinct,['Series A\n21 Mar 2024\nRaised\n$ 55.00M\nInvestors:\nParadigm\nLead\nSandeep Nailwal\nRobot Ventures\nElad Gil\n+7']
Espresso,"['Series B\n21 Mar 2024\nRaised\n$ 28.00M\nInvestors:\nAndreessen Horowitz (a16z)\nLead', 'Seed\n7 Mar 2022\nRaised\n$ 32.00M\nInvestors:\nSequoia Capital\nLead\nElectric Capital\nLead\nGreylock Partners\nLead\nCoinbase Ventures\n+10']"
Tensorplex-Labs,['Seed\n21 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nCollab+Currency\nLead\nCanonical Crypto\nLead\nDigital Currency Group (DCG)\nMechanism Capital\n+16']
Bi-Social,['Undisclosed\n21 Mar 2024\nRaised\n$ 3.00M\nInvestors:\nWAGMI Ventures\nQF Capital\nWeb3Vision']
Qna-3-Ai,"['Grant\n21 Mar 2024\nRaised\nN/A\nInvestors:\nSolana Foundation', 'Undisclosed\n8 Mar 2024\nRaised\nN/A\nInvestors:\nBinance Labs']"
Tanssi-Network,"['Strategic\n21 Mar 2024\nRaised\n$ 6.00M\nInvestors:\nKR1\nLead\nSNZ Holding\nLead\nScytale Digital\nLead\nArrington XRP Capital\n+6', 'Seed\n23 May 2023\nRaised\n$ 3.00M\nInvestors:\nArrington XRP Capital\nLead\nHashKey Capital\nHypersphere Ventures\nC² Ventures\n+3']"
Kiloex,"['Strategic\n21 Mar 2024\nRaised\nN/A\nInvestors:\nForesight Ventures\nPoolz Ventures\nManta Network\n7UpDAO\n+1', 'Undisclosed\n4 Aug 2023\nRaised\nN/A\nInvestors:\nBinance Labs']"
Nebula-Revelation,['Strategic\n21 Mar 2024\nRaised\nN/A\nInvestors:\nDWF Labs\nWaterdrip Capital\nStratified Capital\nCapsuleX Labs\n+1']
Hyperplay,"['Strategic\n21 Mar 2024\nRaised\nN/A\nInvestors:\nSquare Enix', 'Series A\n8 Jun 2023\nRaised\n$ 12.00M\nInvestors:\nBitkraft Ventures\nLead\nGriffin Gaming Partners\nLead\nDelphi Digital\nConsenSys\n+4']"
Castle-Of-Blackwater,['Strategic\n20 Mar 2024\nRaised\n$ 1.00M\nInvestors:\n3Commas\nFaculty Group\nMetrics Ventures']
Asterix-Labs,"['Strategic\n20 Mar 2024\nRaised\nN/A\nInvestors:\nHashed Fund\nEverest Ventures\nMomentum 6\nArcane Group\n+5', 'Strategic\n12 Mar 2024\nRaised\nN/A\nInvestors:\nKevin Lin\nSpirit DAO\ndingaling\nRay Chan\n+2']"
Mystiko-Network,['Seed\n20 Mar 2024\nRaised\n$ 18.00M\nInvestors:\nPeak XV Partners(ex-Sequoia India)\nLead\nHashKey Capital\nMorningstar Ventures\nSandeep Nailwal\n+7']
Ooga-Booga,['Seed\n20 Mar 2024\nRaised\n$ 1.00M\nInvestors:\nKenetic Capital\nLead\nSandeep Nailwal\nPANONY\nCitizenX Crypto Ventures\n+15']
Earlyfans,['Seed\n20 Mar 2024\nRaised\n$ 1.50M\nInvestors:\nGBV Capital\nAlliance DAO\nAlchemy\nGSR\n+8']
Morph,"['Seed\n20 Mar 2024\nRaised\n$ 20.00M\nInvestors:\nDragonFly Capital\nLead\nPantera Capital\nThe Spartan Group\nSandeep Nailwal\n+11', 'Undisclosed\n11 Dec 2023\nRaised\nN/A\nInvestors:\nBitget']"
Eesee,"['Strategic\n20 Mar 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands', 'Undisclosed\n10 Jan 2024\nRaised\n$ 2.85M\nInvestors:\nSevenX Ventures\nMaven Capital\ngmoney\nDaedalus\n+16']"
Bornless,['Seed\n19 Mar 2024\nRaised\n$ 6.66M\nInvestors:\nThe Spartan Group\nInfinity Ventures Crypto\n6th Man Ventures\nConcave\n+8']
Tokenize-Xchange,"['Undisclosed\n19 Mar 2024\nRaised\nN/A\nInvestors:\nTRIVE', 'Series A\n12 Aug 2022\nRaised\n$ 11.50M\nInvestors:\nN/A']"
Metaverse-Hq,['Seed\n19 Mar 2024\nRaised\nN/A\nInvestors:\nConsenSys\nLead\nPolygon Ventures\nLead\nGate.io\nLBank\n+2']
Carrieverse,['Undisclosed\n19 Mar 2024\nRaised\nN/A\nInvestors:\nAlpha Token Capital']
Keyring-Network,['Seed\n19 Mar 2024\nRaised\n$ 6.00M\nInvestors:\ngumi Cryptos\nLead\nGreenfield Capital\nLead\nKima Ventures\nMotier Ventures']
Kemet-Trading,"['Undisclosed\n19 Mar 2024\nRaised\n$ 5.00M\nInvestors:\nFurther Ventures\nLead\nC² Ventures\nQCP Capital\nFalconX\n+2', 'Seed\n31 Aug 2022\nRaised\nN/A\nInvestors:\nC² Ventures\nGenesis\nLedgerPrime\nFlow Traders\n+2']"
Trex-20,['Undisclosed\n19 Mar 2024\nRaised\n$ 1.00M\nInvestors:\nx21 Digital\nMoonrock Capital\nMarshland Capital\nOddiyana Ventures\n+3']
Gull-Network,[]
Umoja-Labs,[]
Dolomite,"['Strategic\n19 Mar 2024\nRaised\n$ 900.00K\nInvestors:\nSandeep Nailwal\nOptic Capital\nDCF God\nDeFi Dad\n+7', 'Grant\n13 Oct 2023\nRaised\n$ 804.00K\nInvestors:\nArbitrum Foundation', 'Undisclosed\n12 May 2023\nRaised\n$ 2.50M\nInvestors:\nNGC Ventures\nLead\nDraper Goren Holm\nLead\nCoinbase Ventures\n6th Man Ventures\n+1']"
Grvt,"['Strategic\n19 Mar 2024\nRaised\n$ 2.20M\nInvestors:\nQCP Capital\nSelini Capital\nPulsar Trading', 'Seed\n19 Sep 2023\nValuation\n$ 39M\nRaised\n$ 5.00M\nInvestors:\nDelphi Digital\nLead\nMatrix Partners\nLead\nCMS Holdings\nSusquehanna International Group\n+3', 'Pre-Seed\n1 Oct 2022\nRaised\n$ 2.10M\nInvestors:\nFolius Ventures\n500 Global']"
Zkasino,"['Seed\n12 Apr 2024\nRaised\n$ 3.00M\nPrice:\n$ 0.0034\nTokens For Sale:\n882,352,941\nInvestors:\nN/A\nLock-up:\n15% TGE, 3 months cliff, 15 months li...', 'Series A\n19 Mar 2024\nValuation\n$ 350M\nRaised\n$ 26.20M\nPrice:\n$ 0.0393\nTokens For Sale:\n666,666,666\nInvestors:\nMEXC\n+3\nLock-up:\n15% TGE, 3 months cliff, 15 months li...']"
Mantra-Dao,"['Undisclosed\n19 Mar 2024\nRaised\n$ 11.00M\nInvestors:\nShorooq Partners\nLead\nGameFi Ventures\nMapleblock Capital\nToken Bay Capital\n+7', 'Undisclosed\n15 Aug 2020\nRaised\nN/A\nInvestors:\nLD Capital\nGenblock Capital\nKenetic Capital\nWaterdrip Capital\n+9']"
Bitbrand,['Undisclosed\n18 Mar 2024\nRaised\n$ 500.00K\nInvestors:\nHustle Fund\nGFR Fund\nSide Door Ventures']
Crypto-Rogue-Games,['Seed\n18 Mar 2024\nRaised\n$ 1.50M\nInvestors:\nCoinFund\nMerit Circle\nBryan Pellegrino\nSNZ Holding\n+3']
Juice-Finance,['Undisclosed\n18 Mar 2024\nRaised\n$ 1.00M\nInvestors:\nDelphi Digital\nDWF Labs\nArthur Hayes\nCozomo de Medici\n+4']
Figure-Markets,['Series A\n18 Mar 2024\nRaised\n$ 60.00M\nInvestors:\nPantera Capital\nLead\nJump Crypto\nLead\nLightspeed Venture Partners\nLead\nCMT Digital\n+2']
Flash-Protocol,['Undisclosed\n18 Mar 2024\nRaised\nN/A\nInvestors:\nDWF Labs\nSignum Capital\nRarestone Capital\nCogitent Ventures\n+5']
Entangle,"['Strategic\n18 Mar 2024\nRaised\nN/A\nInvestors:\nConsenSys', 'Undisclosed\n9 Jan 2024\nRaised\n$ 4.00M\nInvestors:\nBig Brain Holdings\nMH Ventures\nFaculty Group\nSeier Capital\n+11']"
Pac-Finance,['Undisclosed\n16 Mar 2024\nRaised\nN/A\nInvestors:\nManifold']
Tenprotocol,"['Undisclosed\n15 Mar 2024\nValuation\n$ 30M\nRaised\n$ 9.00M\nInvestors:\nR3\nLead\nDWF Labs\nKuCoin Labs\nRepublic\n+2', 'Undisclosed\n5 Dec 2023\nRaised\n$ 7.50M\nInvestors:\nDWF Labs\nKuCoin Labs\nBig Brain Holdings\nMagnus Capital\n+13']"
Honeypot-Finance,"['Seed\n15 Mar 2024\nRaised\nN/A\nInvestors:\nCandaq\nDEXT Force Ventures\nPudgy Alpha\nSANYUAN Labs', 'Pre-Seed\n22 Feb 2024\nRaised\nN/A\nInvestors:\nAC Capital\nLead\nDEXT Force Ventures']"
Avalon-Finance,['Seed\n15 Mar 2024\nRaised\nN/A\nInvestors:\nSpark Digital Capital\nSNZ Holding\nMatrixport\nWeb3Port\n+1']
Jambo,"['Undisclosed\n15 Mar 2024\nRaised\nN/A\nInvestors:\nWaterdrip Capital', 'Series A\n10 May 2022\nRaised\n$ 30.00M\nInvestors:\nParadigm\nLead\nDelphi Digital\nPantera Capital\nShima Capital\n+21', 'Seed\n21 Feb 2022\nRaised\nN/A\nInvestors:\nCoinbase Ventures\nDelphi Digital\nDeFiance Capital\nTiger Global Management\n+5']"
Meson-Network,"['Strategic\n25 Mar 2024\nRaised\nN/A\nInvestors:\nEverest Ventures\nSummer Ventures', 'Strategic\n15 Mar 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Seed\n27 Jun 2021\nRaised\n$ 3.50M\nInvestors:\nMask Network\nLead\nLibertus Capital\nLead\nHash Global\nLead\nHashKey Capital\n+12']"
Mmerch,"[""Seed\n14 Mar 2024\nValuation\n$ 25.7M\nRaised\n$ 6.40M\nInvestors:\nLiberty City Ventures\nLead\nFlamingoDAO\nPunk6529\nChristie's""]"
Shui,['Seed\n14 Mar 2024\nRaised\nN/A\nInvestors:\nBlockBooster\nLead\nConflux Network']
Param-Labs,['Strategic\n14 Mar 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands']
Dlc-Link,['Undisclosed\n14 Mar 2024\nRaised\nN/A\nInvestors:\nOKX Ventures']
Noia,"['Strategic\n14 Mar 2024\nRaised\nN/A\nInvestors:\nPolygon Ventures\nMoonrock Capital\nFaculty Group\nTRGC\n+6', 'Undisclosed\n23 May 2023\nRaised\n$ 4.00M\nInvestors:\nAlphemy Capital\nSaxon Ventures\nAlpha Transform Group\nDenali Digital\n+1']"
Range,['Seed\n14 Mar 2024\nRaised\n$ 2.70M\nInvestors:\nGalileo\nLead\nFenbushi Capital\nBitscale Capital\nReverie\n+7']
D-2-X,"['Series A\n14 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nPoint72 Ventures\nLead\nGSR Ventures', 'Seed\n4 Jan 2022\nRaised\n$ 5.00M\nInvestors:\nTioga Capital Partners\nLead\nFlow Traders\nKima Ventures\nPicus Capital\n+1']"
Playmadworld,['Series A\n14 Mar 2024\nRaised\n$ 13.00M\nInvestors:\nCom2uS\nLead\nAndreessen Horowitz (a16z)\nBitkraft Ventures\nBlocore\n+3']
Aevo,['Undisclosed\n14 Mar 2024\nRaised\nN/A\nInvestors:\nPantera Capital']
