,Total Raised,First Funding Year,First Funding Month,First Funding Day,Service_0,Service_Blockchain Infrastructure,Service_Blockchain Service,Service_CeFi,Service_Chain,Service_DeFi,Service_GameFi,Service_Meme,Service_NFT,Service_Social,Service_Stablecoin,Funding Round_0,"Funding Round_""Seed",Funding Round_Angel,Funding Round_Extended Seed,Funding Round_Grant,Funding Round_OTC Purchase,Funding Round_Pre-Seed,Funding Round_Pre-Series A,Funding Round_Seed,Funding Round_Series A,Funding Round_Series B,Funding Round_Strategic,Funding Round_Undisclosed,Inverstors_and_desc
73,0.0182370820668693,0.9999999999999999,0.75,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,"WAGMI Ventures, QF Capital Bi.social is a Web3-native Social Protocol, offering various components to enhance user experience. These include Bi·Space, providing users with a web3 profile, and Bi·Feed, a personalized and informative feed. Additionally, Bi.social offers a decentralized identity service called Bi DID, further enriching the platform's functionality and security."
74,0.0,0.9999999999999999,0.75,0.7,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,"0 QnA3 is an AI-powered Web3 knowledge engine and intent centric trading platform. As the largest applications in the AI+Crypto domain, QnA3 offers comprehensive services to a vast number of Web3 users, featuring crypto ChatGPT, intent-centric trading, and DePIN Innovation."
75,0.0,0.9999999999999999,0.75,0.7,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,"0 QnA3 is an AI-powered Web3 knowledge engine and intent centric trading platform. As the largest applications in the AI+Crypto domain, QnA3 offers comprehensive services to a vast number of Web3 users, featuring crypto ChatGPT, intent-centric trading, and DePIN Innovation."
76,0.0,0.9999999999999999,0.75,0.7,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,"0 QnA3 is an AI-powered Web3 knowledge engine and intent centric trading platform. As the largest applications in the AI+Crypto domain, QnA3 offers comprehensive services to a vast number of Web3 users, featuring crypto ChatGPT, intent-centric trading, and DePIN Innovation."
77,0.0,0.9999999999999999,0.75,0.7,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,"0 QnA3 is an AI-powered Web3 knowledge engine and intent centric trading platform. As the largest applications in the AI+Crypto domain, QnA3 offers comprehensive services to a vast number of Web3 users, featuring crypto ChatGPT, intent-centric trading, and DePIN Innovation."
78,0.0547112462006079,0.9999999999999999,0.75,0.7,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,"KR1, SNZ Holding, Scytale Digital, Arrington XRP Capital Tanssi is an appchain infrastructure protocol that simplifies appchain deployment, making it secure, efficient, and easy while eliminating the lengthy and complex process of traditional blockchain implementation. Tanssi's permissionless and dev-friendly protocol provides developers with infrastructure tools and services to deploy appchains quickly and effortlessly. "
79,0.0,0.9999999999999999,0.75,0.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,"Foresight Ventures, Poolz Ventures, Manta Network, 7UpDAO KiloEx is building the next generation of user-friendly perpetual DEX focused on risk management and capital efficiency. Its platform offers lightning-fast trades and an intuitive trading experience with a wide range of trading pairs, while offering liquidity providers risk-neutral positions and LP-friendly solutions."
80,0.0,0.9999999999999999,0.75,0.7,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,"DWF Labs, Waterdrip Capital, Stratified Capital, CapsuleX Labs Nebula Revelation prioritizes community engagement and long-term incentives, achieved through various mechanisms such as in-game User-Generated Content (UGC) with the NFT Assembler, out-of-game UGC via the NFT Maker, and voting through the Vote-Driven system. Additionally, Nebula Revelation incorporates the LLM model to control Non-Playable Character (NPC) behavior, enriching the gaming experience with unpredictable encounters and scenarios. Players can expect a dynamic and thrilling journey through the depths of space, shaped by their contributions and interactions within the game universe."
81,0.0729483282674772,0.9999999999999999,0.75,0.7,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,"0 HyperPlay is a web3-native game launcher that enables players to carry their wallet, NFTs, tokens, and achievements into every game. HyperPlay makes in-game wallet interactions seamless and intuitive. "
82,0.0,0.9999999999999999,0.75,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,"3Commas, Faculty Group Castle of Blackwater is a 2D, action packed, social deduction game with a magical twist."
