Name,Funding Round,First Funding Date,Raised Amount,Valuation Amount,Investors
Nest-Wallet,Seed,20 Feb 2024,$ 3.60M,N/A,"Ascensive Assets, gumi Cryptos, OrangeDAO, Sebastien Borget"
Crystal-Fun,Seed,20 Feb 2024,$ 5.00M,N/A,"KuCoin Ventures, Waterdrip Capital, Comma3 Ventures, Stratified Capital"
Tornado-Blast,Strategic,19 Feb 2024,N/A,N/A,"Morningstar Ventures, Atka, Fisher8 Capital, Punk DAO"
Beoble,Strategic,7 Mar 2024,N/A,N/A,
Altlayer,Strategic,19 Feb 2024,$ 14.40M,N/A,"Polychain Capital, Hack VC"
Silencio,Pre-Seed,18 Feb 2024,$ 1.00M,N/A,"Borderless Capital, Moonrock Capital, Master Ventures"
Dephy,Seed,16 Feb 2024,N/A,$ 40M,"IoTeX, Waterdrip Capital, Foresight Ventures, PAKA"
Ethena,Strategic,16 Feb 2024,$ 14.00M,$ 300M,"DragonFly Capital, Maelstrom"
Metropolis,Undisclosed,15 Feb 2024,$ 1.20M,N/A,"Protocol Labs, Outlier Ventures, Cluster Capital, Zephyrus Capital"
Nodekit,Undisclosed,15 Feb 2024,N/A,N/A,
Sphinx,Undisclosed,15 Feb 2024,$ 2.00M,N/A,"Nascent, Volt Capital"
Drosera,Pre-Seed,15 Feb 2024,$ 1.50M,N/A,"Anagram Crypto, Arrington XRP Capital, Santiago R. Santos, Infinite Capital"
Concrete,Undisclosed,15 Feb 2024,$ 7.50M,N/A,"Hashed Fund, Tribe Capital, Hypersphere Ventures, Avalanche Foundation"
Exverse,Undisclosed,15 Feb 2024,$ 3.00M,N/A,"KuCoin Labs, +5, ATH ROI:"
Witness,Seed,15 Feb 2024,$ 3.50M,N/A,"Haun Ventures, Coinbase Ventures, Tim Beiko, Tarun Chitra"
Lava-Network,Seed,15 Feb 2024,$ 15.00M,N/A,"HashKey Capital, Jump Capital, Tribe Capital, Alliance DAO"
Helika,Series A,15 Feb 2024,$ 8.00M,N/A,"Pantera Capital, Sfermion, Diagram Ventures, Sparkle Ventures"
Meta-Street,Undisclosed,15 Feb 2024,$ 25.00M,N/A,"gmoney, Mr. Block, DCF God, dingaling"
Shogun,Undisclosed,15 Feb 2024,N/A,N/A,
Nfprompt,Undisclosed,15 Feb 2024,N/A,N/A,
Ethena,Strategic,16 Feb 2024,$ 14.00M,$ 300M,"DragonFly Capital, Maelstrom"
Overworld,Seed,14 Feb 2024,$ 10.00M,N/A,"Hashed Fund, HashKey Capital, The Spartan Group, Big Brain Holdings"
Architect,Undisclosed,14 Feb 2024,$ 12.00M,N/A,"Blocktower Capital, Tioga Capital Partners, Coinbase Ventures, CMT Digital"
Ultiverse,Undisclosed,14 Feb 2024,$ 4.00M,$ 150M,
Fordefi,Undisclosed,13 Feb 2024,$ 10.00M,N/A,"Electric Capital, Alchemy"
Watches,Pre-Seed,13 Feb 2024,$ 1.90M,N/A,"Lemniscap, Big Brain Holdings, Builder Capital, Marin Ventures"
Analog,Undisclosed,12 Feb 2024,$ 16.00M,$ 120M,"Tribe Capital, Balaji Srinivasan, Wintermute, Quantstamp"
Hydro-Protocol-Fi,Undisclosed,12 Feb 2024,N/A,N/A,"Quantstamp, SkyVision Capital, ExNetwork Capital, CSP DAO"
Intentx,Strategic,12 Feb 2024,$ 1.80M,N/A,"Selini Capital, Mirana Ventures, Kronos, Mantle"
Ginger-Joy,Pre-Seed,9 Feb 2024,$ 1.26M,N/A,
Zeus-Network,Undisclosed,3 Apr 2024,$ 8.00M,$ 100M,"Mechanism Capital, The Spartan Group, Animoca Brands, OKX Ventures"
The-Mystery-Society,Seed,9 Feb 2024,$ 3.00M,N/A,"Shima Capital, Sfermion, Polygon Studios, GSR"
Unisat,Strategic,11 Mar 2024,N/A,N/A,
Pixels,Strategic,9 Feb 2024,$ 4.80M,N/A,"Fenbushi Capital, Framework Ventures, Mechanism Capital, Yield Guild Games (YGG)"
Truflation,Undisclosed,9 Feb 2024,$ 6.00M,N/A,"Laser Digital, Red Beard Ventures, C² Ventures, Fundamental Labs"
Dtravel,Undisclosed,8 Feb 2024,N/A,N/A,
Coala-Pay,Pre-Seed,8 Feb 2024,$ 815.00K,N/A,"Lattice, The Batchery, Factor Capital"
Yogapetz,Undisclosed,8 Feb 2024,$ 5.00M,N/A,"Animoca Brands, Soul Capital"
Fuzzland,Seed,8 Feb 2024,$ 3.00M,N/A,"HashKey Capital, 1kx, SNZ Holding"
Dextools,Seed,8 Feb 2024,N/A,N/A,
Flood,Seed,8 Feb 2024,$ 5.20M,N/A,"Bain Capital Crypto, Archetype Ventures"
Superform,Seed,8 Feb 2024,$ 6.50M,N/A,"Polychain Capital, Circle, Maven 11 Capital, Arthur Hayes"
Omega,Undisclosed,7 Feb 2024,$ 6.00M,N/A,"Blockchain.com, Borderless Capital, MH Ventures, Blockchain Founders Fund"
Ponchiqs,Undisclosed,6 Feb 2024,N/A,N/A,Startgate.com
Ln-Markets,Seed,6 Feb 2024,N/A,N/A,
Folks-Finance,Strategic,6 Feb 2024,N/A,N/A,
Lightlink,Extended Seed,4 Apr 2024,$ 1.70M,N/A,"MH Ventures, NxGen, Eric Cryptoman, Anbessa"
Glif,Seed,6 Feb 2024,$ 4.50M,N/A,"Multichain Capital, Fenbushi Capital, Big Brain Holdings, Protocol Labs"
Clearpool,Grant,6 Feb 2024,$ 150.00K,N/A,
Gigastar,Undisclosed,6 Feb 2024,$ 3.00M,N/A,"DV Chain, Belvedere Trading, Nameless Ventures, Metropolitan Capital"
Debox,Strategic,8 Mar 2024,N/A,N/A,
Startale-Labs,Series A,6 Feb 2024,$ 3.50M,$ 63.5M,"SamsungNext, Signum Capital"
Lends,Undisclosed,5 Feb 2024,N/A,N/A,"Maven Capital, Dewhales, Ape Terminal, Cogitent Ventures"
Carry-1St,,,,N/A,
Kodiakfi,,,,N/A,
Oobit,Series A,5 Feb 2024,$ 25.00M,N/A,"Tether, CMCC Global, 468 Capital"
